trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Getting Old,Pontifexx,177521,brazilian edm,0.502,0.793,1.0,-6.483,0.0,0.115,0.278,0.00161,0.122,0.302,179.743,audio_features,5vo2ld9EHnnGdttmrlrs5R,spotify:track:5vo2ld9EHnnGdttmrlrs5R,https://api.spotify.com/v1/tracks/5vo2ld9EHnnGdttmrlrs5R,https://api.spotify.com/v1/audio-analysis/5vo2ld9EHnnGdttmrlrs5R,169512.0,3.0
Move Your Body,Öwnboss,157444,brazilian edm,0.848,0.821,2.0,-5.408,0.0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,audio_features,6GomT970rCOkKAyyrwJeZi,spotify:track:6GomT970rCOkKAyyrwJeZi,https://api.spotify.com/v1/tracks/6GomT970rCOkKAyyrwJeZi,https://api.spotify.com/v1/audio-analysis/6GomT970rCOkKAyyrwJeZi,157445.0,4.0
Rhythm In Me,Pontifexx,12489126,brazilian edm,0.645,0.887,0.0,-4.318,1.0,0.246,0.0586,0.0,0.061,0.481,123.918,audio_features,4OR24woRarpXR1zpuPj33u,spotify:track:4OR24woRarpXR1zpuPj33u,https://api.spotify.com/v1/tracks/4OR24woRarpXR1zpuPj33u,https://api.spotify.com/v1/audio-analysis/4OR24woRarpXR1zpuPj33u,165016.0,4.0
Rhythm In Me - Club Mix,Pontifexx,0,brazilian edm,0.645,0.887,0.0,-4.318,1.0,0.246,0.0586,0.0,0.061,0.481,123.918,audio_features,4OR24woRarpXR1zpuPj33u,spotify:track:4OR24woRarpXR1zpuPj33u,https://api.spotify.com/v1/tracks/4OR24woRarpXR1zpuPj33u,https://api.spotify.com/v1/audio-analysis/4OR24woRarpXR1zpuPj33u,165016.0,4.0
Rhythm In Me - Extended Club Mix,Pontifexx,92837,brazilian edm,0.771,0.722,0.0,-4.65,1.0,0.245,0.0457,2.85e-05,0.0556,0.653,123.996,audio_features,0w99FORD4t2mkpT6imhnqq,spotify:track:0w99FORD4t2mkpT6imhnqq,https://api.spotify.com/v1/tracks/0w99FORD4t2mkpT6imhnqq,https://api.spotify.com/v1/audio-analysis/0w99FORD4t2mkpT6imhnqq,227003.0,4.0
Getting Old,Pontifexx,177521,brazilian edm,0.502,0.793,1.0,-6.483,0.0,0.115,0.278,0.00161,0.122,0.302,179.743,audio_features,5vo2ld9EHnnGdttmrlrs5R,spotify:track:5vo2ld9EHnnGdttmrlrs5R,https://api.spotify.com/v1/tracks/5vo2ld9EHnnGdttmrlrs5R,https://api.spotify.com/v1/audio-analysis/5vo2ld9EHnnGdttmrlrs5R,169512.0,3.0
Move Your Body,Öwnboss,157444,brazilian edm,0.848,0.821,2.0,-5.408,0.0,0.0527,0.0169,0.000403,0.0962,0.249,125.051,audio_features,6GomT970rCOkKAyyrwJeZi,spotify:track:6GomT970rCOkKAyyrwJeZi,https://api.spotify.com/v1/tracks/6GomT970rCOkKAyyrwJeZi,https://api.spotify.com/v1/audio-analysis/6GomT970rCOkKAyyrwJeZi,157445.0,4.0
Rhythm In Me,Pontifexx,12489126,brazilian edm,0.645,0.887,0.0,-4.318,1.0,0.246,0.0586,0.0,0.061,0.481,123.918,audio_features,4OR24woRarpXR1zpuPj33u,spotify:track:4OR24woRarpXR1zpuPj33u,https://api.spotify.com/v1/tracks/4OR24woRarpXR1zpuPj33u,https://api.spotify.com/v1/audio-analysis/4OR24woRarpXR1zpuPj33u,165016.0,4.0
Rhythm In Me - Club Mix,Pontifexx,0,brazilian edm,0.645,0.887,0.0,-4.318,1.0,0.246,0.0586,0.0,0.061,0.481,123.918,audio_features,4OR24woRarpXR1zpuPj33u,spotify:track:4OR24woRarpXR1zpuPj33u,https://api.spotify.com/v1/tracks/4OR24woRarpXR1zpuPj33u,https://api.spotify.com/v1/audio-analysis/4OR24woRarpXR1zpuPj33u,165016.0,4.0
Rhythm In Me - Extended Club Mix,Pontifexx,92837,brazilian edm,0.771,0.722,0.0,-4.65,1.0,0.245,0.0457,2.85e-05,0.0556,0.653,123.996,audio_features,0w99FORD4t2mkpT6imhnqq,spotify:track:0w99FORD4t2mkpT6imhnqq,https://api.spotify.com/v1/tracks/0w99FORD4t2mkpT6imhnqq,https://api.spotify.com/v1/audio-analysis/0w99FORD4t2mkpT6imhnqq,227003.0,4.0
